,书名,豆瓣链接,封面URL,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价
91,人间词话,https://book.douban.com/subject/1203426/,https://img9.doubanio.com/view/subject/s/public/s1146614.jpg,王国维 ,, 上海古籍出版社 , 1998-12 , 9.80元,9.1,56479,以新眼光评旧文学
92,冬牧场,https://book.douban.com/subject/10522856/,https://img2.doubanio.com/view/subject/s/public/s8958901.jpg,李娟 ,, 新星出版社 , 2012-6 , 29.80元,9.1,43224,阿勒泰的精灵
93,毛泽东选集 第一卷,https://book.douban.com/subject/1139360/,https://img2.doubanio.com/view/subject/s/public/s1106951.jpg,毛泽东 ,, 人民出版社 , 1991-6 , 40.00元,9.6,31898,
94,离开的，留下的,https://book.douban.com/subject/27104959/,https://img2.doubanio.com/view/subject/s/public/s29535271.jpg,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-10 , 62.00元,8.9,80679,探索中年的虚无、困惑、野心和近乎残暴的爱
95,道德经,https://book.douban.com/subject/1059258/,https://img2.doubanio.com/view/subject/s/public/s1045431.jpg,黄元吉 ,, 陕西人民出版社 , 1996-10 , 4.50元,9.5,21310,中国历史上首部完整的哲学著作
96,罪与罚,https://book.douban.com/subject/1858568/,https://img9.doubanio.com/view/subject/s/public/s1790246.jpg,[俄] 陀思妥耶夫斯基 , 岳麟 , 上海译文出版社 , 2006-8 , 23.00元,9.3,37389,描绘人内心的全部深度
97,棋王·树王·孩子王,https://book.douban.com/subject/26734559/,https://img3.doubanio.com/view/subject/s/public/s28688273.jpg,阿城 ,, 江苏凤凰文艺出版社 , 2016-3-1 , 58.00,9.3,31076,
98,看见,https://book.douban.com/subject/20427187/,https://img1.doubanio.com/view/subject/s/public/s24514758.jpg,柴静 ,, 广西师范大学出版社 , 2013-1-1 , 39.80元,8.8,342090,在这里看见中国
99,也许你该找个人聊聊,https://book.douban.com/subject/35481512/,https://img3.doubanio.com/view/subject/s/public/s33944153.jpg,[美]洛莉·戈特利布 , 张含笑 , 上海文化出版社 , 2021-7-28 , 68.00元,9.0,54205,
100,叫魂,https://book.douban.com/subject/25912076/,https://img3.doubanio.com/view/subject/s/public/s28118682.jpg,[美] 孔飞力 , 陈兼 , 生活·读书·新知三联书店 上海三联书店 , 2014-6 , 38.00元,9.2,33874,
101,浪潮之巅,https://book.douban.com/subject/6709783/,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,吴军 ,, 电子工业出版社 , 2011-8 , 55.00元,9.0,34252,了解IT领域的入门读物
102,筚路维艰,https://book.douban.com/subject/26171466/,https://img1.doubanio.com/view/subject/s/public/s33986279.jpg,萧冬连 ,, 社会科学文献出版社 , 2014-10-1 , 45.00元,9.5,19461,
103,一间只属于自己的房间,https://book.douban.com/subject/34835082/,https://img1.doubanio.com/view/subject/s/public/s34848979.jpg,[英] 弗吉尼亚·伍尔夫 , 周颖琪 , 天津人民出版社 , 2019-10 , 45.00元,9.2,35355,
104,爱你就像爱生命,https://book.douban.com/subject/3071717/,https://img3.doubanio.com/view/subject/s/public/s4661043.jpg,王小波 ,, 上海锦绣文章出版社 , 2008-5 , 18.00元,8.8,117248,王小波与李银河的两地书
105,我们仨,https://book.douban.com/subject/1023045/,https://img3.doubanio.com/view/subject/s/public/s1015872.jpg,杨绛 ,, 生活·读书·新知三联书店 , 2003-7 , 18.80元,8.8,315698,家庭生活回忆录
106,桶川跟踪狂杀人事件,https://book.douban.com/subject/35094680/,https://img9.doubanio.com/view/subject/s/public/s34072986.jpg,[日] 清水洁 , 王华懋 , 四川人民出版社 , 2021-2 , 45.00元,9.0,52487,
107,失明症漫记,https://book.douban.com/subject/20428302/,https://img1.doubanio.com/view/subject/s/public/s27217828.jpg,[葡] 若泽·萨拉马戈 , 范维信 , 南海出版公司 , 2014-2 , 29.50元,9.1,40795,失明症迅速蔓延，整个城市陷入一场空前的灾难
108,遥远的向日葵地,https://book.douban.com/subject/27184303/,https://img1.doubanio.com/view/subject/s/public/s29878650.jpg,李娟 ,, 花城出版社 , 2017-11 , 38.00元,9.1,38720,
109,人生的枷锁,https://book.douban.com/subject/2035171/,https://img1.doubanio.com/view/subject/s/public/s3983958.jpg,[英] 毛姆 , 张柏然 , 上海译文出版社 , 2007-3 , 32.00元,9.1,32112,在混沌纷扰的生活漩流中，寻求人生的真谛
110,看不见的城市,https://book.douban.com/subject/10555509/,https://img1.doubanio.com/view/subject/s/public/s8972088.jpg,[意] 伊塔洛·卡尔维诺 , 张密 , 译林出版社 , 2012-4 , 25.00元,9.0,39213,
111,受戒,https://book.douban.com/subject/1760432/,https://img3.doubanio.com/view/subject/s/public/s3628082.jpg,汪曾祺 ,, 漓江出版社 , 1987-10 , 3.95元,9.4,28359,江南乡镇民间生活，健康淳朴的人性
112,巨人的陨落,https://book.douban.com/subject/26698660/,https://img9.doubanio.com/view/subject/s/public/s28668834.jpg,[英] 肯·福莱特 , 于大卫 , 江苏凤凰文艺出版社 , 2016-5-1 , CNY 129.80,8.9,86583,五个家族，一场战争
113,海子的诗,https://book.douban.com/subject/1011754/,https://img2.doubanio.com/view/subject/s/public/s1067491.jpg,海子 ,, 人民文学出版社 , 1999-04 , 15.40,9.0,47700,
114,教父,https://book.douban.com/subject/1092335/,https://img1.doubanio.com/view/subject/s/public/s2832939.jpg,[美]马里奥·普佐 , 周汉林 , 译林出版社 , 1997-8 , 23.30元,9.0,41215,“教父三部曲”电影原著
115,飞鸟集,https://book.douban.com/subject/1058661/,https://img3.doubanio.com/view/subject/s/public/s1044902.jpg,[印] 罗宾德拉纳德·泰戈尔 , 徐翰林 , 哈尔滨出版社 , 2004-6 , 16.80元,8.9,67636,一个淡泊清透的世界
116,茶馆,https://book.douban.com/subject/1036613/,https://img1.doubanio.com/view/subject/s/public/s33516550.jpg,老舍 ,, 人民文学出版社 , 2002-1 , 9.80元,9.2,35785,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
117,少年凯歌,https://book.douban.com/subject/1091203/,https://img9.doubanio.com/view/subject/s/public/s1077996.jpg,,,人民文学出版社 , 2001-6 , 10.00元,9.3,19596,
