,书名,豆瓣链接,封面URL,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价
238,哈姆莱特,https://book.douban.com/subject/1006197/,https://img3.doubanio.com/view/subject/s/public/s27009357.jpg,[英] 莎士比亚 , 朱生豪 , 人民文学出版社 , 2001-1 , 7.00元,8.7,51833,生存还是毁灭，这是一个值得思考的问题
239,时间的秩序,https://book.douban.com/subject/33424487/,https://img2.doubanio.com/view/subject/s/public/s32332471.jpg,[意] 卡洛·罗韦利 , 杨光 , 湖南科学技术出版社 , 2019-6 , 56.00元,8.9,23206,
240,二手时间,https://book.douban.com/subject/26704403/,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg,[白俄] S. A. 阿列克谢耶维奇 , 吕宁思 , 中信出版社 , 2016-1 , 55.00元,8.9,26452,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
241,奥斯维辛,https://book.douban.com/subject/26861418/,https://img2.doubanio.com/view/subject/s/public/s29000481.jpg,[英] 劳伦斯·里斯 , 刘爽 , 广西师范大学出版社 , 2016-9 , 79.00元,9.5,10577,
242,顾城的诗,https://book.douban.com/subject/1033825/,https://img3.doubanio.com/view/subject/s/public/s1024472.jpg,顾城 ,, 人民文学出版社 , 1998-12 , 20.00,8.8,27123,火焰是我们诗歌唯一的读者
243,规训与惩罚,https://book.douban.com/subject/1012307/,https://img3.doubanio.com/view/subject/s/public/s2522397.jpg,[法] 米歇尔·福柯 , 刘北成 , 生活·读书·新知三联书店 , 2003-1 , 21.80元,9.3,11523,伴随着惩罚的人性化，自由反而日益丧失了
244,目送,https://book.douban.com/subject/3995526/,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg,龙应台 ,, 生活·读书·新知三联书店 , 2009-10 , 39.00元,8.6,213252,不必追
245,上学记,https://book.douban.com/subject/1859140/,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg,何兆武 口述 ,, 生活·读书·新知三联书店 , 2006-8 , 19.80元,8.9,14299,20世纪中国知识分子的心灵史
246,总统是靠不住的,https://book.douban.com/subject/1056315/,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg,林达 ,, 生活·读书·新知三联书店 , 2004-08 , 21.80,8.8,21536,美国政治法律制度的基本原理和操作细节
247,枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,https://img3.doubanio.com/view/subject/s/public/s1738643.jpg,[美] 贾雷德·戴蒙德 , 谢延光 , 上海译文出版社 , 2006-4-1 , 45.00元,8.7,53742,人类社会的命运
248,火星救援,https://book.douban.com/subject/26586492/,https://img3.doubanio.com/view/subject/s/public/s28284337.jpg,[美] 安迪·威尔 , 陈灼 , 译林出版社 , 2015-10 , 38.00,8.9,21056,跟火星来一场不是你死就是我活的过家家游戏
249,贾想 I,https://book.douban.com/subject/27062726/,https://img9.doubanio.com/view/subject/s/public/s29486755.jpg,贾樟柯 ,, 台海出版社 , 2017-6-1 , 49.00元,9.1,14351,
